               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.027557,            0.010833,           0.0067319,              0.9759,             0.88389,             0.92747,              0.4988,            0.032407,           0.0043513,           0.0061769,            0.004786,            0.004786,            0.004786
                  81,            0.028375,             0.01103,            0.010077,              0.8979,             0.89305,             0.92922,             0.44746,            0.031859,           0.0044411,           0.0079167,             0.00472,             0.00472,             0.00472
                  82,            0.027665,            0.010528,           0.0060873,             0.90706,             0.85272,             0.91455,             0.39104,            0.035663,            0.004636,             0.01143,            0.004654,            0.004654,            0.004654
                  83,            0.026605,            0.011233,           0.0077778,             0.85207,             0.78829,             0.84914,             0.37002,             0.03785,           0.0047573,            0.014232,            0.004588,            0.004588,            0.004588
                  84,            0.026896,            0.010379,            0.005071,             0.87448,             0.83348,             0.89699,             0.43197,            0.033731,           0.0046159,            0.017682,            0.004522,            0.004522,            0.004522
                  85,            0.025528,           0.0098241,           0.0061663,             0.86596,             0.87077,             0.90637,             0.48571,            0.030595,           0.0045388,            0.019182,            0.004456,            0.004456,            0.004456
                  86,            0.026932,            0.010973,            0.006347,             0.89648,               0.849,             0.90804,             0.48032,            0.028977,           0.0045085,            0.013618,             0.00439,             0.00439,             0.00439
                  87,            0.027887,            0.010321,           0.0054126,             0.79592,             0.89308,             0.86112,             0.35865,            0.034958,            0.004881,            0.011949,            0.004324,            0.004324,            0.004324
                  88,            0.026882,            0.011021,           0.0064812,             0.81306,             0.80814,             0.84693,             0.37962,            0.033785,           0.0058311,            0.016084,            0.004258,            0.004258,            0.004258
                  89,            0.027129,            0.011161,           0.0058244,              0.8703,             0.77516,             0.84382,             0.48249,            0.027565,           0.0058074,            0.020218,            0.004192,            0.004192,            0.004192
                  90,            0.026792,            0.010316,           0.0061653,             0.76215,             0.82765,              0.8303,             0.43605,            0.028516,           0.0054256,            0.027742,            0.004126,            0.004126,            0.004126
                  91,            0.026901,           0.0095586,           0.0070187,             0.73987,             0.85333,             0.83497,             0.35929,            0.034733,           0.0052489,            0.028778,             0.00406,             0.00406,             0.00406
                  92,            0.024465,           0.0099059,           0.0058712,              0.8932,              0.7573,             0.84419,             0.38452,            0.033979,           0.0054882,            0.019084,            0.003994,            0.003994,            0.003994
                  93,            0.026042,            0.009991,           0.0077238,             0.84417,             0.86809,             0.85493,             0.35937,             0.03571,           0.0054144,            0.012577,            0.003928,            0.003928,            0.003928
                  94,             0.02468,           0.0096689,           0.0056079,             0.84092,             0.84101,             0.84479,             0.41173,            0.030445,           0.0058486,            0.019177,            0.003862,            0.003862,            0.003862
                  95,            0.026034,           0.0097462,           0.0058851,             0.71438,             0.85333,             0.84014,             0.38404,            0.033876,           0.0057759,            0.031824,            0.003796,            0.003796,            0.003796
                  96,            0.024892,           0.0092187,            0.005304,             0.78089,             0.81333,             0.85597,             0.52569,            0.026381,            0.005337,            0.034102,             0.00373,             0.00373,             0.00373
                  97,            0.024911,            0.010222,           0.0045644,             0.78761,             0.81306,             0.84313,             0.44372,            0.030152,           0.0050196,            0.040486,            0.003664,            0.003664,            0.003664
                  98,             0.02437,            0.010009,            0.006211,             0.79321,             0.81333,             0.84836,             0.39663,            0.033675,           0.0046573,            0.047407,            0.003598,            0.003598,            0.003598
                  99,             0.02614,            0.010422,           0.0053986,              0.7652,             0.87765,             0.88628,             0.38736,            0.034607,           0.0044323,            0.040519,            0.003532,            0.003532,            0.003532
                 100,            0.024456,            0.010239,           0.0060269,             0.81835,             0.83776,             0.89265,             0.47316,            0.031912,           0.0040834,            0.037472,            0.003466,            0.003466,            0.003466
                 101,             0.02407,           0.0097844,           0.0048404,             0.83856,             0.83681,             0.89761,             0.44606,            0.032711,           0.0041401,            0.026903,              0.0034,              0.0034,              0.0034
                 102,            0.024777,            0.010267,           0.0062815,             0.85105,             0.83841,             0.90467,             0.46936,            0.033495,           0.0041398,            0.022166,            0.003334,            0.003334,            0.003334
                 103,            0.023003,            0.010491,           0.0045774,             0.86116,              0.8382,               0.898,             0.45757,            0.032472,            0.004156,            0.017382,            0.003268,            0.003268,            0.003268
                 104,            0.022502,            0.010368,           0.0041627,             0.90341,             0.88057,             0.90557,             0.50256,            0.030526,           0.0041041,            0.013004,            0.003202,            0.003202,            0.003202
                 105,            0.023469,           0.0098521,           0.0041182,             0.88224,             0.86493,             0.90557,             0.45749,            0.031567,            0.004421,            0.020492,            0.003136,            0.003136,            0.003136
                 106,            0.023275,           0.0097616,           0.0050952,             0.85064,             0.82272,             0.87747,             0.43387,             0.03458,           0.0047983,            0.031182,             0.00307,             0.00307,             0.00307
                 107,            0.023651,            0.009986,           0.0036815,              0.8384,              0.8128,             0.84407,             0.38919,            0.035559,           0.0050553,            0.042013,            0.003004,            0.003004,            0.003004
                 108,            0.022064,            0.009951,           0.0039218,             0.82244,             0.81333,             0.85276,             0.45544,            0.031131,           0.0048155,            0.032759,            0.002938,            0.002938,            0.002938
                 109,            0.022605,            0.010906,           0.0044455,             0.86913,             0.82016,             0.89312,             0.44007,            0.033114,           0.0047149,            0.026708,            0.002872,            0.002872,            0.002872
                 110,            0.023034,           0.0096281,            0.004394,             0.86322,             0.82837,             0.88843,                0.43,            0.034741,           0.0048024,            0.026885,            0.002806,            0.002806,            0.002806
                 111,            0.022789,           0.0087575,           0.0045844,             0.82164,             0.84224,             0.87565,             0.43548,            0.034341,           0.0045607,            0.032717,             0.00274,             0.00274,             0.00274
                 112,            0.023475,           0.0093257,           0.0037402,             0.83872,             0.84047,             0.88244,             0.46413,            0.032151,           0.0044112,            0.035199,            0.002674,            0.002674,            0.002674
                 113,            0.023156,           0.0092775,           0.0061928,             0.84505,             0.82751,              0.8919,             0.45683,            0.032259,           0.0043608,            0.029459,            0.002608,            0.002608,            0.002608
                 114,            0.022739,           0.0099673,           0.0046493,             0.85525,             0.82533,             0.89233,             0.43378,            0.033566,           0.0044331,            0.023701,            0.002542,            0.002542,            0.002542
                 115,            0.022785,           0.0096349,           0.0037595,             0.87345,             0.82187,             0.89843,             0.44904,            0.033879,           0.0044008,            0.018523,            0.002476,            0.002476,            0.002476
                 116,            0.020877,           0.0092115,           0.0033908,             0.93243,             0.84053,             0.90557,             0.51026,            0.028031,           0.0040775,            0.013419,             0.00241,             0.00241,             0.00241
                 117,            0.022518,            0.010047,           0.0033293,             0.92435,             0.86449,             0.90887,              0.4944,            0.029241,            0.004105,            0.010413,            0.002344,            0.002344,            0.002344
                 118,            0.021513,           0.0094115,           0.0044272,             0.90332,             0.91319,             0.92423,             0.47625,            0.030347,           0.0042826,            0.009001,            0.002278,            0.002278,            0.002278
                 119,            0.022124,           0.0097529,           0.0035422,             0.87626,             0.90877,             0.92137,             0.48718,            0.030244,           0.0043114,           0.0099126,            0.002212,            0.002212,            0.002212
                 120,            0.020103,           0.0092873,           0.0032708,             0.87598,             0.86684,             0.91553,             0.47345,            0.033205,           0.0044814,            0.012617,            0.002146,            0.002146,            0.002146
                 121,            0.021188,           0.0087499,           0.0040122,             0.86213,             0.87055,             0.90804,             0.43235,            0.034872,           0.0046714,            0.017393,             0.00208,             0.00208,             0.00208
                 122,            0.022268,            0.008687,           0.0039107,             0.86769,             0.82903,             0.87466,             0.46452,            0.031264,           0.0048949,            0.023038,            0.002014,            0.002014,            0.002014
                 123,            0.021322,           0.0093645,            0.003258,             0.86593,             0.82662,             0.86643,             0.45567,            0.031801,           0.0051125,            0.028369,            0.001948,            0.001948,            0.001948
                 124,            0.021336,            0.010247,           0.0030399,             0.86651,             0.83336,              0.8681,             0.42653,             0.03444,            0.004554,             0.02862,            0.001882,            0.001882,            0.001882
                 125,             0.02036,            0.008648,           0.0031235,             0.78412,             0.88955,             0.88294,             0.46703,            0.032048,           0.0042011,            0.030293,            0.001816,            0.001816,            0.001816
                 126,            0.021276,           0.0089321,           0.0028489,             0.77973,             0.89319,             0.88794,             0.47175,            0.030422,           0.0040772,            0.029595,             0.00175,             0.00175,             0.00175
                 127,            0.019319,            0.008286,           0.0023907,             0.78761,             0.88985,             0.86316,             0.43547,            0.034318,           0.0043006,             0.02875,            0.001684,            0.001684,            0.001684
                 128,            0.019587,           0.0080879,             0.00254,             0.78592,             0.88227,             0.86133,             0.44679,            0.033652,           0.0043256,             0.03272,            0.001618,            0.001618,            0.001618
                 129,            0.021461,           0.0095996,           0.0039139,              0.7916,              0.8775,             0.86398,             0.40531,            0.035278,           0.0044756,            0.032807,            0.001552,            0.001552,            0.001552
                 130,            0.020268,           0.0086623,           0.0034085,             0.84833,             0.84472,             0.86532,             0.43417,            0.033015,           0.0044987,            0.031221,            0.001486,            0.001486,            0.001486
                 131,            0.019296,           0.0082994,            0.002701,             0.84662,             0.85018,             0.85698,             0.42764,            0.034042,           0.0047023,            0.029838,             0.00142,             0.00142,             0.00142
                 132,             0.01973,           0.0086927,           0.0037872,             0.86332,             0.84228,             0.86103,             0.44352,            0.032725,           0.0046793,            0.022596,            0.001354,            0.001354,            0.001354
                 133,             0.02038,           0.0096287,           0.0041266,             0.86382,             0.85286,             0.87899,              0.4409,            0.034308,           0.0047769,            0.018224,            0.001288,            0.001288,            0.001288
                 134,            0.020521,           0.0088571,           0.0041813,             0.87086,             0.85312,             0.88779,              0.4792,            0.033532,           0.0046797,             0.01745,            0.001222,            0.001222,            0.001222
                 135,             0.02098,            0.008502,           0.0039522,             0.87492,             0.85333,             0.89057,             0.45671,            0.033439,           0.0045379,            0.016998,            0.001156,            0.001156,            0.001156
                 136,            0.020207,           0.0090861,           0.0031977,             0.87878,             0.85333,                 0.9,              0.4229,            0.036001,           0.0046945,            0.016858,             0.00109,             0.00109,             0.00109
                 137,            0.019434,           0.0094201,           0.0026567,             0.87959,             0.85333,             0.88128,             0.46074,            0.033578,           0.0045263,            0.019238,            0.001024,            0.001024,            0.001024
                 138,            0.019336,           0.0093278,           0.0039404,              0.8786,             0.85333,             0.86071,             0.41808,            0.034505,           0.0045894,            0.022724,            0.000958,            0.000958,            0.000958
                 139,            0.020747,            0.008799,           0.0044403,             0.88543,               0.861,             0.88795,             0.43934,            0.034759,           0.0044751,            0.019914,            0.000892,            0.000892,            0.000892
                 140,            0.018677,           0.0086687,            0.003141,             0.88102,             0.86384,              0.8799,             0.45293,            0.033865,           0.0043843,            0.021672,            0.000826,            0.000826,            0.000826
                 141,            0.017931,           0.0081603,           0.0020725,             0.86558,             0.86916,             0.87933,             0.45674,            0.033345,           0.0043328,            0.022529,             0.00076,             0.00076,             0.00076
                 142,            0.018294,           0.0085881,           0.0028668,             0.79985,             0.87585,             0.86723,              0.4519,            0.033752,           0.0043318,            0.025807,            0.000694,            0.000694,            0.000694
                 143,            0.019058,           0.0085884,           0.0038292,             0.84743,             0.82273,             0.86094,             0.43711,            0.033808,           0.0043239,            0.030078,            0.000628,            0.000628,            0.000628
                 144,            0.018294,           0.0081306,           0.0025008,              0.8375,             0.82335,             0.86316,             0.46057,            0.032642,           0.0042699,            0.031539,            0.000562,            0.000562,            0.000562
                 145,            0.018249,           0.0080531,           0.0030486,             0.83522,             0.82341,             0.86094,             0.43036,            0.033989,           0.0043537,            0.031325,            0.000496,            0.000496,            0.000496
                 146,            0.018714,           0.0085537,           0.0027516,             0.83242,             0.82413,             0.86094,             0.43675,            0.033877,           0.0043472,            0.030358,             0.00043,             0.00043,             0.00043
                 147,            0.018498,           0.0093026,           0.0029977,             0.83561,             0.82365,             0.86094,             0.43499,            0.033673,           0.0043519,            0.031845,            0.000364,            0.000364,            0.000364
                 148,            0.019501,           0.0085297,           0.0035232,              0.8401,             0.82361,             0.86094,             0.44101,            0.033496,           0.0042984,            0.030879,            0.000298,            0.000298,            0.000298
                 149,            0.019591,           0.0087947,           0.0040488,             0.84088,              0.8232,             0.86094,             0.44644,            0.033193,           0.0042625,            0.029942,            0.000232,            0.000232,            0.000232
